color,depressed,dreamy,romantic,healing,joy
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,2,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,4
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,3
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,2
yellow,1,1,1,1,1
yellow,1,1,1,1,1
yellow,1,1,1,1,1
yellow,1,1,1,1,1
yellow,1,1,1,1,1
